s.no.,P,E,Tmax,Tmin
1,0,3.792307692,0,1
2,0,3.819230769,0,1
3,0,3.726923077,0,1
4,0,3.598076923,0,1
5,0,3.621153846,0,1
6,0.066730769,3.803846154,0,1
7,0.395192308,3.144230769,0,1
8,0.019230769,3.401923077,0,1
9,0,3.534615385,0,1
10,0,3.711538462,0,1
11,0,3.873076923,0,1
12,0,3.942307692,0,1
13,0,3.778846154,0,1
14,0,3.876923077,0,1
15,0,4.019230769,0,1
16,0,4.051923077,0,1
17,0,4.082692308,0,1
18,0,4.078846154,0,1
19,0,3.925,0,1
20,0,3.857692308,0,1
21,0.044230769,3.942307692,0,1
22,0.0175,3.951923077,0,1
23,0.000384615,4.044230769,0,1
24,0,4.230769231,0,1
25,0,4.088461538,0,1
26,0,4.063461538,0,1
27,0.033076923,4.203846154,0,1
28,2.864038462,3.515384615,0,1
29,19.53653846,3.078846154,0,1
30,0.115961538,3.519230769,0,1
31,0.8875,3.690384615,0,1
32,1.158461538,3.498076923,0,1
33,0.0625,3.380769231,0,1
34,0,3.855769231,0,1
35,0,4.009615385,0,1
36,0,4.273076923,0,1
37,0,4.25,0,1
38,0,4.413461538,0,1
39,0,4.367307692,0,1
40,0,4.436538462,0,1
41,0.008846154,3.709615385,0,1
42,0.048461538,3.725,0,1
43,0.091153846,3.740384615,0,1
44,0.041153846,3.980769231,0,1
45,0.013461538,3.85,0,1
46,0,4.161538462,0,1
47,0.002884615,4.148076923,0,1
48,0.044807692,4.226923077,0,1
49,0.298846154,4.003846154,0,1
50,0.073269231,4.444230769,0,1
51,0.005769231,4.723076923,0,1
52,0.042307692,4.713461538,0,1
53,0.186730769,4.671153846,0,1
54,0.083846154,4.609615385,0,1
55,0.073461538,4.496153846,0,1
56,0.019038462,4.534615385,0,1
57,0,4.459615385,0,1
58,0,4.373076923,0,1
59,0,4.455769231,0,1
60,0,4.584615385,0,1
61,0,4.651923077,0,1
62,0,4.642307692,0,1
63,0,5.003846154,0,1
64,0,5.173076923,0,1
65,0,5.078846154,0,1
66,0,5.175,0,1
67,0,5.15,0,1
